"section","category","title","summary","article_summary","date","date_iso","year","month","url","page"
"news","Gender and livestock","GASL and Partners lay groundwork for pastoralist, rangeland and women farmers celebrations","Inclusivity will also be key to next year’ celebrations as 2026 will mark the International Year of Women Farmers, to recognize and promote the vital role of women in agriculture and address the challenges they face.","The inaugural meeting of the task force for the International Year of Rangelands and Pastoralists (IYRP) and the International Year of Women Farmers , convened by the Global Agenda for Sustainable Livestock (GASL), took place on Friday 5 September, setting an ambitious and collaborative tone for the year ahead. Inclusivity will also be key to next year’ celebrations as 2026 will mark the International Year of Women Farmers, to recognize and promote the vital role of women in agriculture and address the challenges they face. The task force is formed by: Deirdre Hennessy - University College Cork Emmanuel Coste – Confédération de l’Elevage Fiona Flintan - ILRI Gregorio Juan Velasco Gil - FAO Helena Ansanello Koury – GASL Youth Network Ilse Köhler-Rollefson – League for Pastoral People Jessica Radau – Canadian Cattle Association Julian Chara - CIPAV Mariana Quiroga Mendiola - INTA Melanie Blanchard - CIRAD Michael Egan - Teagasc Michael O’Donovan - Teagasc Mitchell Zoratti - Canadian Cattle Association Nancy Bourgeois - BFH Nitya Ghotge - Anthra Pablo Frere - PASTORAMÉRICAS - WAMIP Pablo Peri - INTA Rogerio Martins Mauricio – Universidade Federal de São João del-Rei Tahira Mohamed – ILRI Tim McAllister - Agriculture and Agri-Food Canada As efforts intensify in the months ahead, the task force’s collective expertise promises to shape an impactful and globally resonant celebration of the world’s rangelands and pastoralist communities.","18/09/2025","2025-09-18","2025","9","https://www.fao.org/partnerships/livestock-dialogue/news-events/news/detail/gasl-and-partners-lay-groundwork-for-pastoralist--rangeland-and-women-farmers-celebrations/en","1"
"news","Gender and inclusive food systems and value chains","New report exposes pervasive gender inequalities in sub-Saharan Africa’s agrifood systems, despite women powering half the agrifood workforce","FAO, NRI and AWARD present new data on the status of women in agrifood systems in sub-Saharan Africa.","©AWARD In sub-Saharan Africa, approximately three out of four working women (76 percent) are employed in agrifood systems, and women make up 49 percent of the agrifood systems workforce. These figures were presented in the overview of The Status of Women in Agrifood Systems in Sub-Saharan Africa report published by the Food and Agriculture Organization of the United Nations (FAO), the Natural Resources Institute of the University of Greenwich (NRI) and African Women in Agricultural Research and Development (AWARD) on 2 September 2025 during the Africa Food Systems Forum in Dakar, Senegal. “Positive change already exists in sub-Saharan Africa which is directly addressing the inequalities faced by diverse women in the region– such as collective action towards women’s land rights, addressing gender based violence, and leadership in agroecological movements and natural resource governance– while there is a long way to go, these changes can improve women’s livelihoods and wellbeing, as well as ensure women’s priorities are more meaningfully represented in decision-making,” highlighted Dr Lora Forsythe, Associate Professor in Gender, Inequalities and Food Systems at NRI.","02/09/2025","2025-09-02","2025","9","https://www.fao.org/africa/news-stories/news-detail/new-report-exposes-pervasive-gender-inequalities-in-sub-saharan-africa-s-agrifood-systems--despite-women-powering-half-the-agrifood-workforce/en","1"
"news","Gender equality and women's empowerment","FAO launches Platform for the Empowerment of Rural Women in Latin America and the Caribbean","The new digital tool aims to support governments, organizations, and communities in developing inclusive public policies and concrete actions that promote leadership, rights, and the comprehensive empowerment of rural, indigenous, Afro-descendant, and young women in the region.","©FAO The Food and Agriculture Organization of the United Nations (FAO) has launched the new Regional Platform for the Empowerment of Rural Women, a digital tool aimed at strengthening the capacities, leadership, and full exercise of the rights of rural, Indigenous, Afro-descendant, and young women across Latin America and the Caribbean. This tool has been developed within the framework of the Rural Women’s Empowerment and Environmental Sustainability Acceleration Programme and the regional campaign “Rural Women, Women with Rights”, both led by FAO. The platform is now available to the public in both Spanish and English and can be accessed at: www.fao.org/gender/americas/en Regional Platform for the Empowerment of Rural Women Launch of the Platform Rural Women’s Empowerment and Environmental Sustainability Acceleration Programme Gender courses Regional campaign “Rural Women, Women with Rights” Ricardo Rivera Better Life Communicator Constanza Soudy Soto Coordinator of social inclusion communication strategies","06/08/2025","2025-08-06","2025","8","https://www.fao.org/americas/news/news-detail/plataforma-mujeres-rurales/en","1"
"news","Gender and food security and nutrition","FAO discusses strengthening women's role in agrifood systems in Kyrgyzstan","Empowering rural women is central to fulfilling the mission of the Food and Agriculture Organization of the United Nations (FAO) to eradicate hunger and ensure food security globally.","To enhance the capacity of women's civil society organizations and create favorable conditions for their participation in strategic decision-making on climate change adaptation and peacebuilding, FAO, in collaboration with UN Women and the “Rosa Otunbayeva Initiative” Foundation, launched the project “Active Women's Civil Society Organizations Promote Peace in Kyrgyzstan” in 2023 with financial support from the UN Secretary-General's Peacebuilding Fund. Learn more: FAO supports women's initiative in Batken region to cultivate rose hips on degraded land FAO provides equipment to women’s NGOs in Batken to reduce climate risks and strengthen sustainable peace FAO boosts sustainable agriculture in Batken via modern irrigation FAO and women activists clear canal in Batken region, providing irrigation water for 800 hectares of farmland Bishkek – Empowering rural women is central to fulfilling the mission of the Food and Agriculture Organization of the United Nations (FAO) to eradicate hunger and ensure food security globally. Learn more: FAO supports women's initiative in Batken region to cultivate rose hips on degraded land FAO provides equipment to women’s NGOs in Batken to reduce climate risks and strengthen sustainable peace FAO boosts sustainable agriculture in Batken via modern irrigation FAO and women activists clear canal in Batken region, providing irrigation water for 800 hectares of farmland","28/07/2025","2025-07-28","2025","7","https://www.fao.org/countryprofiles/news-archive/detail-news/en/c/1740925","1"
"news","Gender and food security and nutrition","Advancing Nutrition with Renewed Commitment at the Nutrition for Growth Summit","At a pivotal moment for global nutrition and sustainable development, FAO played an active role in the 2025 Nutrition for Growth (N4G) Summit , hosted by the Government of France.","FAO’s Director of the Food and Nutrition Division, Lynnette Neufeld, emphasized the need for a shared understanding of healthy diets, referencing the 2024 FAO-WHO joint statement: “A healthy diet is adequate in nutrients without excess, balanced in energy, diverse in foods, and moderate in unhealthy items.” Neufeld stressed the importance of system-wide action – including sustainable diversification of production, stronger value chains, and healthier food environments – to make healthy diets a reality for all. Side Event: “Empowering Women in Agrifood Systems: Pathways to Gender-just Nutrition and Reproductive Health for Women and Girls” FAO Deputy Director-General Maurizio Martina emphasized the powerful links between nutrition, gender, rights and reproductive health at a side event co-organized with UNFPA, highlighting how structural inequalities harm women’s and girls’ nutrition, seriously impacting their health and that of future generations. Side Event: “Maximizing the Nutrition Impact of School Meal Programmes” Co-hosted by FAO, WFP, UNICEF, the UN-Nutrition Secretariat, the School Meals Coalition, and the Coalition of Action on Healthy Diets from Sustainable Food Systems for Children and All, this event focused on improving the design and implementation of school meal programmes, placing a strong emphasis on nutrition, cultural relevance and sustainability.","29/04/2025","2025-04-29","2025","4","https://www.fao.org/partnerships/fao-un-system/UN-Partners/fao-and-wfp/advancing-nutrition-with-renewed-commitment-at-the-nutrition-for-growth-summit","1"
"news","Gender and food security and nutrition","At CSW69, UN Rome-based Agencies indicate pathways to rights-based food security and nutrition for women","“If you don’t have progress, there is no pushback” – with these cautionary words, Her Excellency Bineta Diop, Special Envoy of the Chairperson of the African Union Commission on Women, Peace and Security, encouraged participants.","©FAO / Selena Lee “If you don’t have progress, there is no pushback” – with these cautionary words, Her Excellency Bineta Diop, Special Envoy of the Chairperson of the African Union Commission on Women, Peace and Security, encouraged participants of a side event during the 69th session of the Committee on the Status of Women (CSW69) to scale up pathways towards gender equality, food security and resilient agrifood systems, highlighting the particular vulnerability of women and girls in conflict zones. Yet gender-based inequalities in agrifood systems continue to impede women and girls’ right to adequate and nutritious food,” said Lauren Phillips, Deputy Director for Rural Transformation and Gender Equality at the Food and Agriculture Organization of the United Nations (FAO), who moderated the event. Sahar Albazar, member of parliament and Deputy Chair of the Foreign Affairs Committee of the Arab Republic of Egypt, who highlighted her country’s efforts to empower women in agrifood systems, and Jean Enriquez Rosales, Executive Director for the Coalition Against Trafficking in Women (Asia Pacific), who elaborated upon the close link between food security and protection from sexual exploitation, abuse and harassment for women.","08/04/2025","2025-04-08","2025","4","https://www.fao.org/gender/news/news-detail/at-csw69--un-rome-based-agencies-indicate-pathways-to-rights-based-food-security-and-nutrition-for-women/en","1"
"news","Gender equality and women's empowerment","Achieving gender equality in agrifood systems: FAO's role in advancing SDG 5","In March, the UN highlighted Sustainable Development Goal (SDG) 5: Achieving gender equality and empowering all women and girls.","A notable example is FAO’s partnership with the International Trade Centre (ITC) on the programme: “ Empowering women and boosting livelihoods through agricultural trade: Leveraging the AfCFTA (the African Continental Free Trade Area agreement) .” This initiative supports women-led micro, small and medium sized enterprises in the agrifood sector by providing trade facilitation training to enhance business readiness and competitiveness through an enabling and inclusive business and policy environment within the AfCFTA. FAO’s 2023 report on The Status of Women in Agrifood Systems provided comprehensive evidence of the need to prioritize gender equality and women’s empowerment in agrifood systems. The initiative aims to enhance gender equality and women’s empowerment in agrifood systems through financing and partnerships and thereby accelerate efforts to promote gender equality and women’s empowerment in the remaining five years of the 2030 Agenda.","31/03/2025","2025-03-31","2025","3","https://www.fao.org/sustainable-development-goals-helpdesk/transform/news-detail/achieving-gender-equality-in-agrifood-systems--fao's-role-in-advancing-sdg-5/en","1"
"news","Gender and inclusive food systems and value chains","30 years after Beijing, Commit to Grow Equality urges action for women in agrifood systems","As the global community marked the 30th anniversary of the adoption of the Beijing Declaration and Platform for Action , FAO launched the first progress report for its Commit to Grow Equality (CGE) initiative.","©FAO / Ben Hider As the global community marked the 30th anniversary of the adoption of the Beijing Declaration and Platform for Action , FAO launched the first progress report for its Commit to Grow Equality (CGE) initiative at a dynamic event in New York, encouraging stakeholders to take concrete action to accelerate gender equality and women’s empowerment in agrifood systems. In discussing the persistent wage gap between women and men, Sarah Hendriks, Director for the Policy, Programme and Intergovernmental Division at UN Women, encouraged stakeholders to join in the uptake of the Voluntary Guidelines on Gender Equality and Women’s Empowerment . Their commitments are featured in the report and include, for instance, expanding access to funding for women agripreneurs (AlphaMundi Foundation), building a new cohort of local leaders on gender equality and agrifood policy (Rise Up) and conducting a systematic gender review by the Foreign, Commonwealth and Development Office (United Kingdom).","28/03/2025","2025-03-28","2025","3","https://www.fao.org/gender/news/news-detail/30-years-after-beijing--commit-to-grow-equality-urges-action-for-women-in-agrifood-systems/en","1"
"news","Gender and inclusive food systems and value chains","A look back: FAO at the 69th Session of the Commission on the Status of Women","10-21 March, New York - “It is critical to address the challenges within agrifood systems that hold women back from reaching their full potential,” the Director of the FAO Liaison Office with the UN in New York, Angélica Jácome, stressed during the FAO","Group photo of speakers at the CSW69 Commit to Grow Equality event organized by FAO 10-21 March, New York - “It is critical to address the challenges within agrifood systems that hold women back from reaching their full potential,” the Director of the FAO Liaison Office with the UN in New York, Angélica Jácome, stressed during the FAO Commit to Grow Equality (CGE) event at the 69th Session of the Commission on the Status of Women (CSW69) in New York. Women’s and Girls’ Right to Food FAO also organized, together with the International Fund for Agricultural Development (IFAD), the World Food Programme (WFP), and the Governments of Malawi and Nepal, an event to raise awareness and identify pathways to accelerate progress toward fully realizing women’s and girls’ right to food in agrifood systems and beyond. FAO Gender article on CSW69 Commit To Grow Equality event FAO Gender article on CSW69 Women’s and Girls’ Right to Food event Commit to Grow Equality: Investing in the future of women in agrifood systems CFS voluntary guidelines on gender equality and women's and girls' empowerment in the context of food security and nutrition","21/03/2025","2025-03-21","2025","3","https://www.fao.org/new-york/news/news-detail/a-look-back--fao-at-the-69th-session-of-the-commission-on-the-status-of-women/en","1"
"news","Gender equality and women's empowerment","FAO, IFAD and WFP join forces to celebrate International Women's Day 2025","The Food and Agriculture Organization of the United Nations (FAO), the International Fund for Agricultural Development (IFAD) and the World Food Programme (WFP) together marked International Women's Day 2025 at an event today, reiterating their strong commitment to the empowerment of women and...","©FAO Rome – The Food and Agriculture Organization of the United Nations (FAO), the International Fund for Agricultural Development (IFAD) and the World Food Programme (WFP) together marked International Women's Day 2025 at an event today, reiterating their strong commitment to the empowerment of women and girls, particularly in the context of the fight against hunger. The Rome-based agencies come together annually for the International Women's Day event to demonstrate their joint commitment to promoting equality and women's empowerment which is crucial when it comes to tackling poverty and food insecurity, and building resilient and sustainable agrifood systems that benefit everyone. We can win the battle against hunger and malnutrition by supporting women to take the lead.” Ahead of International Women's Day on 8 March, FAO, IFAD and WFP reaffirm their commitment to empowering women and girls worldwide with the objective of building a more resilient, and sustainable future for all.","06/03/2025","2025-03-06","2025","3","https://www.fao.org/newsroom/detail/fao--ifad-and-wfp-join-forces-to-celebrate-international-women's-day-2025/en","1"
