"section","category","title","summary","date","date_iso","year","month","url","page"
"publications","Gender and inclusive food systems and value chains","The status of women in agrifood systems in sub-Saharan Africa - Overview","","02/09/2025","2025-09-02","2025","9","https://openknowledge.fao.org/handle/20.500.14283/cd6631en","1"
"publications","Gender and inclusive food systems and value chains","Gender equality and climate change: A synthesis of knowledge in agrifood systems","","01/09/2025","2025-09-01","2025","9","https://openknowledge.fao.org/handle/20.500.14283/cd4349en","1"
"publications","Gender equality and women’s empowerment","Europe and Central Asia Gender Newsletter, August 2025 – Issue #19","","01/09/2025","2025-09-01","2025","9","https://openknowledge.fao.org/handle/20.500.14283/cd6759en","1"
"publications","Gender equality and women’s empowerment","Understanding women’s roles and trade potential along regional value chains: An in-depth analysis of the soybean-to-poultry value chain in the United Republic of Tanzania","","01/08/2025","2025-08-01","2025","8","https://openknowledge.fao.org/handle/20.500.14283/cd5068en","1"
"publications","Gender equality and women’s empowerment","The empowerment of rural women, gender-responsive land policies and the implementation of Sustainable Development Goal Indicators 5.a.1 and 5.a.2. Assessment report 2025","","01/08/2025","2025-08-01","2025","8","https://openknowledge.fao.org/handle/20.500.14283/cd5891en","1"
"publications","Gender equality and women’s empowerment","Republic of Tajikistan: National gender profile of agriculture and rural livelihoods (Country Gender Assessment Series)","","01/08/2025","2025-08-01","2025","8","https://openknowledge.fao.org/handle/20.500.14283/cd6263en","1"
"publications","Gender and inclusive food systems and value chains","The Status of Youth in Agrifood Systems","","01/07/2025","2025-07-01","2025","7","https://openknowledge.fao.org/handle/20.500.14283/cd5886en","1"
"publications","Gender equality and women’s empowerment","Promoting the dissemination and uptake of the​ Voluntary Guidelines on Gender Equality and Women’s and Girls’ Empowerment in the Context of Food Security and Nutrition (Programme overview 2025-2027)","","01/07/2025","2025-07-01","2025","7","https://openknowledge.fao.org/handle/20.500.14283/cd6061en","1"
"publications","Gender equality and women’s empowerment","Promoting the dissemination and uptake of the​ Voluntary Guidelines on Gender Equality and Women’s and Girls’ Empowerment in the Context of Food Security and Nutrition (Programme overview 2025-2027)","","01/07/2025","2025-07-01","2025","7","https://openknowledge.fao.org/handle/20.500.14283/cd6061en","2"
"publications","Gender and food security and nutrition","Joint Programme on Gender Transformative Approaches for Food Security and Nutrition: 2019-2024","","01/07/2025","2025-07-01","2025","7","https://openknowledge.fao.org/handle/20.500.14283/cd5994en","2"
"publications","Gender and decent rural employment and child labour","Child Labour Global Estimates 2024","","11/06/2025","2025-06-11","2025","6","https://data.unicef.org/resources/child-labour-global-estimates-2024/","2"
"publications","Gender and investment in sustainable agrifood systems","Walking the talk: Advancing parliamentary action for gender equality and investments in the agrifood sector","","01/06/2025","2025-06-01","2025","6","https://openknowledge.fao.org/handle/20.500.14283/cd1687en","2"
"publications","Gender equality and women’s empowerment","Scoping paper on complementary social protection and economic inclusion programming for rural women’s economic empowerment","","01/06/2025","2025-06-01","2025","6","https://openknowledge.fao.org/handle/20.500.14283/cd6012en","2"
"publications","Gender equality and women’s empowerment","Bringing women innovators to the fore: Engaging in gender-responsive, farmer-led innovation and research (Guidelines for facilitators)","","01/06/2025","2025-06-01","2025","6","https://openknowledge.fao.org/handle/20.500.14283/cd0954en","2"
"publications","Gender equality and women’s empowerment","Africa Gender Newsletter, June 2025 – Issue #1","","01/06/2025","2025-06-01","2025","6","https://openknowledge.fao.org/handle/20.500.14283/cd5748en","2"
"publications","Gender equality and women’s empowerment","Republic of Belarus: National gender profile of agriculture and rural livelihoods (Country Gender Assessment Series)","","01/05/2025","2025-05-01","2025","5","https://openknowledge.fao.org/handle/20.500.14283/cd5325en","3"
"publications","Gender-responsive policy making and budgeting","Gender-responsive budgeting to realize women’s and girls’ right to adequate food","","01/05/2025","2025-05-01","2025","5","https://openknowledge.fao.org/handle/20.500.14283/cd5220en","3"
"publications","Gender equality and women’s empowerment","Gender Asia Pacific Newsletter, May 2025 – Issue #6","","01/05/2025","2025-05-01","2025","5","https://openknowledge.fao.org/handle/20.500.14283/cd5510en","2"
"publications","Gender equality and women’s empowerment","Development finance for gender equality and women’s empowerment in agrifood systems","","01/04/2025","2025-04-01","2025","4","https://openknowledge.fao.org/handle/20.500.14283/cd5017en","3"
"publications","Gender equality and women’s empowerment","Gender-inclusive toolkit for financial institutions in sub-Saharan Africa: Making the African Continental Free Trade Area work for women","","26/03/2025","2025-03-26","2025","3","https://openknowledge.fao.org/handle/20.500.14283/cd3741en","3"
"publications","Gender and inclusive food systems and value chains","Commit to Grow Equality: Investing in the future of women in agrifood systems - Progress report 2025","","12/03/2025","2025-03-12","2025","3","https://openknowledge.fao.org/handle/20.500.14283/cd4123en","3"
"publications","Gender equality and women’s empowerment","Europe and Central Asia Gender Newsletter, March 2025 – Issue #17","","01/03/2025","2025-03-01","2025","3","https://openknowledge.fao.org/handle/20.500.14283/cd4667en","3"
"publications","Gender equality and women’s empowerment","Rural transformation through agribusiness incubation","","01/02/2025","2025-02-01","2025","2","https://openknowledge.fao.org/handle/20.500.14283/cd3971en","4"
"publications","Gender analysis, gender mainstreaming and the project cycle","Mainstreaming gender in national drought plans, national action plans and national policies","","01/02/2025","2025-02-01","2025","2","https://openknowledge.fao.org/handle/20.500.14283/cd4147en","3"
"publications","Gender equality and women’s empowerment","Empowering women veterinary paraprofessionals through gender-responsive training","","01/02/2025","2025-02-01","2025","2","https://openknowledge.fao.org/handle/20.500.14283/cd4109en","3"
"publications","Gender in fisheries and aquaculture","A gender-responsive methodology for fish loss assessment in the small-scale fisheries sector","","01/02/2025","2025-02-01","2025","2","https://openknowledge.fao.org/handle/20.500.14283/cd4304en","4"
"publications","Gender equality and women’s empowerment","Georgia: National gender profile of agriculture and rural livelihoods (Country Gender Assessment Series)","","01/01/2025","2025-01-01","2025","1","https://openknowledge.fao.org/handle/20.500.14283/cd3777en","4"
"publications","Gender and climate change, agroecology and biodiversity","Gender transformative change for climate action","","01/01/2025","2025-01-01","2025","1","https://openknowledge.fao.org/handle/20.500.14283/cd3900en","4"
"publications","Gender analysis, gender mainstreaming and the project cycle","Step-by-step guide to integrating a gender transformative approach throughout the project cycle","","01/12/2024","2024-12-01","2024","12","https://openknowledge.fao.org/handle/20.500.14283/cd2629en","4"
"publications","Gender equality and women’s empowerment","CFS voluntary guidelines on gender equality and women's and girls' empowerment in the context of food security and nutrition","","12/11/2024","2024-11-12","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cd2996en","4"
"publications","Gender equality and women’s empowerment","Brochure on the CFS voluntary guidelines on gender equality and women's and girls' empowerment in the context of food security and nutrition","","12/11/2024","2024-11-12","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cd3022en","4"
"publications","Gender equality and women’s empowerment","Report of the World Banana Forum's webinar on ""Closing the gender pay gap by increasing women's participation in banana production and leadership roles","","06/11/2024","2024-11-06","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cc9704en","4"
"publications","Gender and climate change, agroecology and biodiversity","Supporting Gender-Responsive Adaptation to Climate Change in Kenya - UNJP/KEN/100/UWN","","01/11/2024","2024-11-01","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cd3203en","5"
"publications","Gender equality and women’s empowerment","Strengthening the status of the spouse and partner in Albania’s agricultural businesses","","01/11/2024","2024-11-01","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cd3392en","5"
"publications","Gender and emergencies and resilience building","Strengthening Rural Populations’ Livelihoods Resilience through the Promotion Of Nonagricultural Short Circuits in the Post COVID-19 Pandemic - TCP/BRA/3802","","01/11/2024","2024-11-01","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cd3054en","5"
"publications","Gender equality and women’s empowerment","Promoting Livelihoods Recovery and Resilience through Youth and Women-Led Resilient Value Chain Development and Entrepreneurship in Saint Vincent and the Grenadines - TCP/STV/3803","","01/11/2024","2024-11-01","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cd3244en","5"
"publications","Gender and climate change, agroecology and biodiversity","Operationalizing a Gender-Responsive Uganda National Adaptation Plan for the Agriculture Sector (NAP-Ag) - TCP/UGA/3802","","01/11/2024","2024-11-01","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cd3248en","5"
