"section","category","title","summary","article_summary","date","date_iso","year","month","url","page"
"success-stories","Gender equality and women's empowerment","Heritage of the deep","Initially seeking a different path, Ryoujin returned to Jeju and decided to become a haenyeo (or sea woman) like her mother and grandmother before her.","Like her mother and grandmother, she decided to become a haenyeo (or sea woman), the famed, free-diving fisherwomen of Jeju, who venture into the ocean’s depths, using only their breath, skill and memory of the sea’s underwater landscape. In 2016 UNESCO recognized Jeju haenyeo culture as an Intangible Cultural Heritage of Humanity, and in 2023 the Food and Agriculture Organization of the United Nations (FAO) designated the Jeju Haenyeo Fisheries System as a Globally Important Agricultural Heritage System (GIAHS) in 2023, affirming the haenyeo's significance as custodians of marine biodiversity, sustainable harvesting practices and an extraordinary communal ethic. “Despite harsh working conditions, environmental changes, declining marine resources, aging and the low influx of new haenyeo , they symbolize the strong identity of women who maintain their livelihoods based on the traditional fishing community.” The Jeju government is working to preserve the haenyeo way of life.","09/10/2025","2025-10-09","2025","10","https://www.fao.org/newsroom/story/heritage-of-the-deep/en","1"
"success-stories","Gender equality and women's empowerment","Buzz-worthy opportunities","In Düzce, Türkiye, 32 percent of youth are unemployed. Many opt to move to the city in search of work. Beekeeping offers young people an alternative path and income opportunities in rural areas.","©FAO / Turuhan Alkır Each morning, 22-year-old Züleyha Ceylan drives her small blue truck down the winding village roads, past fields of hazelnut trees, to a patch of colourful beehives in the province of Düzce, some 200 kilometres northwest of Ankara, Türkiye. The goal is not only to strengthen beekeeping today, but also to ensure that future generations can thrive here.” With FAO support, young beekeepers are learning to market their products and grow sustainable and successful businesses. “With FAO’s training and the support of our community, I can see a future here—not just for me, but for the next generation of beekeepers in Düzce.” “Don’t be afraid to try,” she advises other young people.","06/10/2025","2025-10-06","2025","10","https://www.fao.org/newsroom/story/buzz-worthy-opportunities/en","1"
"success-stories","Gender and climate change, agroecology and biodiversity","Secrets of the Andean chakras","Indigenous Women lead climate action to preserve agrobiodiversity in Ecuador’s highlands","Despite the challenges of farming at altitudes ranging from 2 500 to 3 400 metres above sea level and the increasing impacts of climate change on these fragile ecosystems, Kichwa women and their Indigenous Peoples’ food and knowledge systems have sustained food security and self-sufficiency in this region of Ecuador for centuries. The secret of the chacra’s success are the Kichwa Indigenous women, like Magdalena, who are seed guardians, preserving and maintaining native seeds, and the unique mountain plateaus, whose different altitudes and microclimates are crucial to the array of crops grown here. Indigenous Women, like Magdalena, are seed guardians, experts on preserving and maintaining the local varieties of native seeds, most notably maize, beans, and squash, while the Andean mountains in this region are formed by unique plateaus—locally known as pisos climáticos — that offer diverse climates and environments.","01/10/2025","2025-10-01","2025","10","https://www.fao.org/newsroom/story/secrets-of-the-andean-chakras/en","1"
"success-stories","Gender and climate change, agroecology and biodiversity","An island of chocolate gold","Lush with rainforests and cocoa plantations, the island country of Sao Tome and Principe is rich in biodiversity but faces increasing forest and land degradation due to agricultural expansion, changes in land use and the impacts of climate change.","The Restoration Initiative (TRI) works with cocoa cooperatives and supports cocoa farmers—especially women producers like Camila —with improved techniques and organic and fair-trade certifications. Working with cocoa cooperatives in the country, the Food and Agriculture Organization of the United Nations (FAO) and the national government, launched a project to restore degraded forest ecosystems and enhance sustainable cocoa production as part of The Restoration Initiative (TRI). ©FAO/Eduardo Soteras A sweet dream Going forward, Camila dreams of making her own chocolates and blending her own cocoa at CECAB’s own chocolate factory that they established to ensure that farmers benefit from every step of the cocoa value chain.","17/09/2025","2025-09-17","2025","9","https://www.fao.org/newsroom/story/an-island-of-chocolate-gold/en","1"
"success-stories","Gender and innovative and labour-saving technologies","Sowing seeds, reaping resilience","Cambodia’s wet season is becoming unpredictable, but now improved flood-resistant seeds are helping Seuy Phok and other rice farmers have more reliable harvests.","The project provided high-quality rice seeds suited to a new climate reality and on-the-ground training in sustainable practices to help farmers better adapt to a changing climate. “The second harvest was much better: two barrels and five bags.” FAO’s PCRL project implemented farmer field schools and provided high-quality rice seeds to help farmers better adapt to a changing climate. “Our rice used to suffer from diseases, but now it’s healthy, with robust growth and high purity.” From just 40 kilograms of seeds, Champey harvested two tons of rice, earning nearly 1.5 million Riels, or USD 375.","08/09/2025","2025-09-08","2025","9","https://www.fao.org/newsroom/story/sowing-seeds--reaping-resilience/en/","1"
"success-stories","Gender and land and water","Breaking barriers and cultivating change","In the heart of Tajikistan, a woman has defied the odds, shattered social norms and transformed the agricultural landscape of communities.","© FAO/Bunafsha Azimova Under her leadership, Nurobod Seed Producing Farm has invested in wells for a reliable water supply and is now debt free, with shareholders enjoying a stable, prosperous future. The Strengthening Resilience of the Agriculture Sector project – funded by the World Bank and implemented by the state institution Agriculture Entrepreneurship Development, with technical support from FAO – gave the Nurobod Seed Producing Farm essential resources such as mineral fertilizers and elite seeds, which greatly improved the quality and yields of the crops. “This collaboration has not only increased the farm’s productivity but has also empowered the team to make environmentally responsible decisions that benefit both the land and the community.","02/09/2025","2025-09-02","2025","9","https://www.fao.org/europe/resources/stories/details/breaking-barriers-and-cultivating-change/en","1"
"success-stories","Gender equality and women's empowerment","Lesotho’s potato priority","The potato is now a symbol of national transformation. Lesotho chose the potato as its priority product and joined FAO’s One Country One Priority Product (OCOP) initiative in 2022.","Now, people come back again and again because they know my potatoes are good.” “In Lesotho, the potato was already widely grown,” explains Nthimo Mokitinyane, FAO’s OCOP Focal Point in Lesotho. It’s no longer guesswork — it’s business.” His Majesty King Letsie III of Lesotho, an FAO Special Goodwill Ambassador for Nutrition, states that the commercial potential of the potato can empower rural women and provide opportunities for young people. “If we unlock the commercial potential of the potato, it can empower rural women and attract young people struggling to find jobs.” Transforming farming into business Lesotho’s high-altitude climate offers ideal conditions for potato farming, and the crop is central to the country’s strategy for food security and economic resilience.","27/08/2025","2025-08-27","2025","8","https://www.fao.org/newsroom/story/lesothos-potato-priority/en","1"
"success-stories","Gender equality and women's empowerment","What fuels the stove, fires the change: rethinking cooking for health, empowerment and climate","Five hours. That's how long women in energy-poor households spend each day on cooking-related tasks—time not spent in school, earning income, or caring for themselves.","In Rwanda, for instance, they could increase access to clean cooking fuels by up to 33 percent , while in Zambia they could meet up to the 12 percent of the country’s clean cooking fuel target. Some studies show that switching to clean cooking solutions can save a person nearly 29 days each year in time spent collecting fuel and cooking. A 2025 FAO study on bioethanol for clean cooking in Africa highlights some of these, including eliminating VAT and import duties on clean fuels and stoves, adopting international fuel standards, and embedding clean cooking into national food security, health and climate strategies.","21/08/2025","2025-08-21","2025","8","https://www.fao.org/newsroom/fao-blog/detail/fao-blog/2025/08/21/what-fuels-the-stove--fires-the-change--rethinking-cooking-for-health--empowerment-and-climate/en","1"
"success-stories","Gender and innovative and labour-saving technologies","Sealing jars, opening doors","In this district of Jabal Saraj, in the northeastern Parwan province of Afghanistan, these women turned producing jams and pickles into their way of making a living.","As part of the Household Food and Livelihood Security (HFLS) project, funded by the Government of Luxembourg, FAO helped to set up the centre where Hasina and other women prepare and package the products. The food processing centre initiative, part of the Household Food and Livelihood Security project, has provided women with agricultural inputs and skills to operate small-scale food processing business as a livelihood option. ©FAO/Hashim Azizi Mobilising skills and women’s potential Hasina and the other women also received guidance and support from women social mobilisers who engage closely with them.","18/08/2025","2025-08-18","2025","8","https://www.fao.org/newsroom/story/sealing-jars-opening-doors/en","1"
"success-stories","Gender and innovative and labour-saving technologies","Investing in Jharkhand’s women","In Jharkhand’s Gumla district, one small community hub is alive with activity. Inside, women of all ages – some with toddlers on their laps – gather for a producer group meeting.","Led by the Department of Rural Development, Government of Jharkhand, implemented by the Jharkhand State Livelihood Promotion Society (JSLPS) and supported with financing from the World Bank, the JOHAR programme has helped more than 150 000 households shift from subsistence paddy rice farming to high-value agriculture. “To ensure access, we developed tricycle-mounted pumps, allowing women farmers to bring water to their fields with ease.” Crucially, the programme has also provided targeted support to poultry and goat producers, through its trained cadre of over 1 500 village-based female Community Service Providers – “Pashu Sakhis”, who provide technical, business and market advice to farmers. This machine allows farmers to hatch chicks at home and become entrepreneurs."" Vikash attributes his success to the programme’s support: ""Training on hatchery management and chick quality, along with connections to backyard growers, helped us expand from a small business to a major supplier, serving Jharkhand and beyond."" JOHAR has not only increased the availability of poultry to backyard growers – it has also created an organized value chain.","25/06/2025","2025-06-25","2025","6","https://www.fao.org/newsroom/story/investing-in-jharkhand-women","1"
